{ a | a }  
{ absolutnie | absolutnie }  
{ aby | aby }  
{ ach | ach }  
{ administracyjny | administracyjny }  
{ adres | adres }  
{ afganistan | Afganistan }  
{ afryka | Afryka }  
{ aha | aha }  
{ akcja | akcja }  
{ akt | akt }  
{ aktor | aktor }  
{ aktywny | aktywny }  
{ akurat | akurat }  
{ albo | albo }  
{ ale | ale }  
{ alez | ależ }  
{ alfabet | alfabet }  
{ alkohol | alkohol }  
{ alkoholowy | alkoholowy }  
{ ameryka | Ameryka }  
{ amerykanski | amerykański }  
{ amharski | amharski }  
{ analiza | analiza }  
{ angielski | angielski }  
{ anglia | Anglia }  
{ ani | ani }  
{ aniol | anioł }  
{ arabski | arabski }  
{ archipelag | archipelag }  
{ armia | armia }  
{ artykul | artykuł }  
{ artysta | artysta }  
{ artystyczny | artystyczny }  
{ atak | atak }  
{ atmosfera | atmosfera }  
{ atomowa | atomowa }  
{ australia | Australia }  
{ austria | Austria }  
{ autobus | autobus }  
{ autor | autor }  
{ az | aż }  
{ azeby | ażeby }  
{ azja | Azja }  
{ azjatycki | azjatycki }  
{ ba | ba }  
{ babcia | babcia }  
{ babka | babka }  
{ bac | bać }  
{ badac | badać }  
{ badanie | badanie }  
{ badz | bądź }  
{ bajka | bajka }  
{ bank | bank }  
{ banknot | banknot }  
{ bar | bar }  
{ bardzo | bardzo }  
{ barwa | barwa }  
{ bawic | bawić }  
{ belgia | Belgia }  
{ bez | bez }  
{ bezpieczenstwo | bezpieczeństwo }  
{ bezposrednio | bezpośrednio }  
{ bialorus | Białoruś }  
{ bialoruski | białoruski }  
{ bialy | biały }  
{ biblioteka | biblioteka }  
{ bic | bić }  
{ biec | biec }  
{ bieda | bieda }  
{ biedny | biedny }  
{ bieg | bieg }  
{ bilet | bilet }  
{ biskup | biskup }  
{ bitwa | bitwa }  
{ biuro | biuro }  
{ blad | błąd }  
{ blady | blady }  
{ blask | blask }  
{ bliski | bliski }  
{ blisko | blisko }  
{ bloto | błoto }  
{ blyskawicznie | błyskawicznie }  
{ bo | bo }  
{ bob | Bob }  
{ bog | Bóg }  
{ bogactwo | bogactwo }  
{ bogaty | bogaty }  
{ bogini | bogini }  
{ bohater | bohater }  
{ bok | bok }  
{ bol | ból }  
{ bowiem | bowiem }  
{ boze | Boże }  
{ brac | brać }  
{ brak | brak }  
{ brat | brat }  
{ brazowy | brązowy }  
{ brew | brew }  
{ broda | broda }  
{ bron | broń }  
{ bronic | bronić }  
{ brudny | brudny }  
{ brytania | Brytania }  
{ brzeg | brzeg }  
{ brzuch | brzuch }  
{ brzydki | brzydki }  
{ budowa | budowa }  
{ budowac | budować }  
{ budowla | budowla }  
{ budynek | budynek }  
{ budzic | budzić }  
{ bulgarski | bułgarski }  
{ burza | burza }  
{ but | but }  
{ butelka | butelka }  
{ by | by }  
{ byc | być }  
{ bycie | bycie }  
{ bydlo | bydło }  
{ byk | byk }  
{ byle | byle }  
{ bylo | było }  
{ byly | były }  
{ bynajmniej | bynajmniej }  
{ calkiem | całkiem }  
{ calkowicie | całkowicie }  
{ calkowity | całkowity }  
{ calosc | całość }  
{ caly | cały }  
{ cebula | cebula }  
{ cecha | cecha }  
{ cel | cel }  
{ celu | celu }  
{ cena | cena }  
{ centralny | centralny }  
{ centrum | centrum }  
{ cesarz | cesarz }  
{ charakter | charakter }  
{ charakterystyczny | charakterystyczny }  
{ chciec | chcieć }  
{ chec | chęć }  
{ chemiczny | chemiczny }  
{ chetnie | chętnie }  
{ chinski | chiński }  
{ chiny | Chiny }  
{ chleb | chleb }  
{ chlop | chłop }  
{ chlopak | chłopak }  
{ chlopiec | chłopiec }  
{ chmura | chmura }  
{ choc | choć }  
{ chocby | choćby }  
{ chociaz | chociaż }  
{ chodzic | chodzić }  
{ cholera | cholera }  
{ choroba | choroba }  
{ chory | chory }  
{ chronic | chronić }  
{ chrystus | Chrystus }  
{ chrzescijanski | chrześcijański }  
{ chrzescijanstwo | chrześcijaństwo }  
{ chwila | chwila }  
{ chyba | chyba }  
{ ci | ci }  
{ ciagle | ciągle }  
{ ciagnac | ciągnąć }  
{ ciagu | ciągu }  
{ cialo | ciało }  
{ ciasto | ciasto }  
{ ciaza | ciąża }  
{ cicho | cicho }  
{ cichy | cichy }  
{ ciebie | ciebie }  
{ ciecz | ciecz }  
{ ciekawy | ciekawy }  
{ ciemno | ciemno }  
{ ciemnosc | ciemność }  
{ ciemny | ciemny }  
{ cien | cień }  
{ cienki | cienki }  
{ cieplo | ciepło }  
{ cieply | ciepły }  
{ cierpiec | cierpieć }  
{ cierpienie | cierpienie }  
{ ciezar | ciężar }  
{ ciezki | ciężki }  
{ ciezko | ciężko }  
{ cios | cios }  
{ ciotka | ciotka }  
{ cisza | cisza }  
{ cmentarz | cmentarz }  
{ co | co }  
{ codziennie | codziennie }  
{ cokolwiek | cokolwiek }  
{ coraz | coraz }  
{ corka | córka }  
{ cos | coś }  
{ coz | cóż }  
{ cukier | cukier }  
{ cwiczenie | ćwiczenie }  
{ czapka | czapka }  
{ czarny | czarny }  
{ czas | czas }  
{ czasami | czasami }  
