{ AA | All after }
{ AB | All before  }
{ ARRL | American Radio Relay League }
{ ABT | About }
{ ADR | Address }
{ AGN | Again }
{ ANR | Another }
{ ANT | Antenna }
{ ARND | Around }
{ AS | Wait }
{ BCI | Broadcast interference }
{ BCNU | Be seeing you }
{ BK | Break }
{ BN | All between }
{ BTR | Better }
{ BTU | Back to you }
{ BUG | Semiautomatic mechanical key }
{ BURO | Bureau  }
{ B4 | Before }
{ C | Yes; correct }
{ CBA | Callbook address }
{ CFM | Confirm }
{ CK | Check }
{ CL | Clear (I am closing my station) }
{ CLG | Calling }
{ CONDX | Conditions }
{ COS | Because }
{ CQ | Calling  }
{ CS | Callsign }
{ CTL | Control }
{ CUD | Could }
{ CUL | See you later }
{ CUZ | Because }
{ CW | Continuous wave  }
{ CX | Conditions }
{ DE | From (or "this is") }
{ DN | Down }
{ DR | Dear }
{ DX | Distance }
{ EMRG | Emergency }
{ ENUF | Enough }
{ ES | And }
{ FB | Fine business }
{ FER | For }
{ FM | From }
{ FREQ | Frequency }
{ FWD | Forward }
{ GA | Good afternoon }
{ GE | Good evening }
{ GG | Going }
{ GL | Good luck }
{ GM | Good morning }
{ GN | Good night }
{ GND | Ground  }
{ GUD | Good }
{ GX | Ground }
{ HEE | Humour }
{ HI | Humour  }
{ HR | Here, hear }
{ HV | Have }
{ HW | How; How copy }
{ II | I say again }
{ IMP | Impedance }
{ K | Over }
{ KN | Over}
{ LID | Poor operator }
{ MH | Meters high  }
{ MILS | Milliamperes }
{ MNI | Many }
{ MSG | Message }
{ N | No; nine }
{ NIL | Nothing }
{ NR | Number; Near }
{ NW | Now }
{ NX | Noise; noisy }
{ OB | Old boy }
{ OC | Old chap }
{ OK | Okay }
{ OM | Old man }
{ OO | Official observer }
{ OP | Operator }
{ OT | Old timer }
{ OTC | Old timers club  }
{ OOTC | Old old timers club  }
{ PLS | Please }
{ PSE | Please }
{ PWR | Power }
{ PX | Prefix }
{ R | Roger }
{ RCVR | Receiver }
{ RFI | Radio-frequency interference }
{ RIG | Radio apparatus }
{ RPT | Repeat or report (depending on context) }
{ RPRT | Report }
{ RST | Signal report  }
{ RTTY | Radioteletype }
{ RX | Receiver, radio }
{ SAE | Self-addressed envelope }
{ SASE | Self-addressed, stamped envelope }
{ SED | Said }
{ SEZ | Says }
{ SFR | So far (proword) }
{ SIG | Signal or signature }
{ SIGS | Signals }
{ SK | Out (prosign), end of contact }
{ SK | Silent Key (a deceased radio amateur) }
{ SKED | Schedule }
{ SN | Soon }
{ SNR | Signal-to-noise ratio }
{ SRI | Sorry }
{ SSB | Single sideband }
{ STN | Station }
{ T | Zero }
{ TEMP | Temperature }
{ TFC | Traffic }
{ TKS | Thanks }
{ TMW | Tomorrow }
{ TNX | Thanks }
{ TRE | There }
{ TT | That }
{ TU | Thank you }
{ TVI | Television interference }
{ TX | Transmit, transmitter }
{ TXRX | Transceiver, transmitter + receiver }
{ TXT | Text }
{ U | You }
{ UR | Your or You're }
{ URS | Yours }
{ VY | Very }
{ W | Watts }
{ WA | Word after }
{ WB | Word before }
{ WDS | Words }
{ WID | With }
{ WKD | Worked }
{ WKG | Working }
{ WL | Will }
{ WUD | Would }
{ WX | Weather }
{ XCVR | Transceiver }
{ XMTR | Transmitter }
{ XYL | Wife ( }
{ YF | Wife }
{ YL | Young lady  }
{ YR | Your or You're }
{ Z | Zulu time }
{ ZX | Zero beat }
{ 44 | Hand shake, half of 88. Often used in Flora and Fauna connections }
{ 72 | Best Wishes QRP  }
{ 73 | Best regards }
{ 88 | Love and kisses }
